5.9%, 88+ AJs+ AQo+
6.0%, 88+ AJs+ AQo+
7.7%, 77+ ATs+ AJo+
8.3%, 66+ ATs+ AJo+ KQs
17.2%, 33+ A7s+ A5s-A4s ATo+ K9s+ KJo+ Q9s+ J9s+ T9s
7.5%, 77+ ATs+ AJo+
8.1%, 66+ ATs+ AJo+ KQs
8.5%, 66+ ATs+ AJo+ KQs
10.6%, 55+ A9s+ ATo+ KQs KQo
22.9%, 22+ A2s+ A8o+ K8s+ KJo+ Q8s+ QJo J8s+ JTo T8s+ 98s
10.0%, 55+ A9s+ ATo+ KQs
12.2%, 55+ A8s+ A9o+ KJs+ KQo
13.9%, 44+ A7s+ A5s A9o+ KTs+ KQo QJs
31.9%, 22+ Ax K6s+ KTo+ Q8s+ QTo+ J8s+ JTo T7s+ 97s+ 87s 76s
15.8%, 33+ A4s+ A8o+ KTs+ KQo QJs
20.2%, 22+ A2s+ A6o+ KTs+ KJo+ QTs+
53.2%, 22+ Ax K2s+ K3o+ Q2s+ Q8o+ J4s+ J8o+ T6s+ T8o+ 95s+ 98o 85s+ 87o 74s+ 64s+ 53s+
33.0%, 22+ Ax K4s+ K7o+ Q8s+ QTo+ J9s+ JTo
14.7%, 44+ A8s+ A5s ATo+ K9s+ KQo Q9s+ J9s+ T9s
5.9%, 88+ AJs+ AQo+
6.9%, 77+ AJs+ AJo+
7.2%, 77+ AJs+ AJo+
8.0%, 66+ ATs+ AJo+ KQs
9.2%, 66+ ATs+ ATo+ KQs
18.4%, 33+ A3s+ ATo+ K9s+ KJo+ Q9s+ QJo J9s+ T8s+ 98s
8.3%, 66+ ATs+ AJo+ KQs
8.3%, 66+ ATs+ AJo+ KQs
10.0%, 55+ A9s+ ATo+ KQs
12.0%, 55+ A7s+ ATo+ KJs+ KQo
23.1%, 22+ A2s+ A8o+ K8s+ KJo+ Q9s+ QJo J8s+ JTo T8s+ 98s 87s
10.0%, 55+ A9s+ ATo+ KQs
12.8%, 44+ A8s+ A9o+ KJs+ KQo
16.9%, 33+ A4s+ A8o+ KTs+ KJo+ QJs
32.1%, 22+ Ax K6s+ KTo+ Q8s+ QTo+ J8s+ JTo T7s+ 97s+ 87s 76s
17.8%, 33+ A4s+ A7o+ KTs+ KJo+ QJs
22.2%, 22+ A2s+ A5o+ K9s+ KTo+ QTs+
54.5%, 22+ Kx+ Q2s+ Q8o+ J4s+ J8o+ T5s+ T8o+ 95s+ 98o 85s+ 87o 74s+ 64s+ 53s+
35.1%, 22+ Ax K3s+ K6o+ Q8s+ Q9o+ J9s+ JTo T9s
15.9%, 33+ A7s+ A5s ATo+ K9s+ KJo+ Q9s+ J9s+ T9s
7.5%, 77+ ATs+ AJo+
7.5%, 77+ ATs+ AJo+
7.5%, 77+ ATs+ AJo+
8.3%, 66+ ATs+ AJo+ KQs
10.2%, 55+ A9s+ ATo+ KQs
20.1%, 22+ A3s+ A9o+ K9s+ KJo+ Q9s+ QJo J9s+ T8s+ 98s
9.2%, 66+ ATs+ ATo+ KQs
9.3%, 66+ ATs+ ATo+ KQs
11.1%, 55+ A9s+ ATo+ KJs+ KQo
13.4%, 44+ A7s+ A5s A9o+ KJs+ KQo
25.7%, 22+ A2s+ A7o+ A5o K8s+ KTo+ Q9s+ QJo J8s+ JTo T8s+ 98s 87s
11.7%, 55+ A8s+ A9o+ KJs+
13.8%, 44+ A7s+ A9o+ KTs+ KQo
18.4%, 33+ A2s+ A7o+ KTs+ KJo+ QJs
33.0%, 22+ Ax K5s+ KTo+ Q8s+ QTo+ J8s+ JTo T7s+ 97s+ 86s+ 76s 65s
18.1%, 33+ A3s+ A7o+ KTs+ KJo+ QJs
24.3%, 22+ A2s+ A4o+ K9s+ KTo+ QTs+ QJo JTs
58.3%, 22+ Kx+ Q2s+ Q7o+ J3s+ J8o+ T4s+ T8o+ 95s+ 97o+ 84s+ 87o 74s+ 76o 64s+ 53s+ 43s
37.4%, 22+ Ax K2s+ K5o+ Q7s+ Q9o+ J8s+ JTo T9s
17.0%, 33+ A4s+ ATo+ K9s+ KJo+ Q9s+ J9s+ T9s 98s
7.8%, 77+ ATs+ AJo+ KQs
8.3%, 66+ ATs+ AJo+ KQs
8.3%, 66+ ATs+ AJo+ KQs
10.0%, 55+ A9s+ ATo+ KQs
12.3%, 44+ A7s+ ATo+ KJs+ KQo
20.6%, 22+ A2s+ A9o+ K9s+ KJo+ Q9s+ QJo J8s+ T8s+ 98s
9.5%, 66+ A9s+ ATo+ KQs
10.0%, 55+ A9s+ ATo+ KQs
11.9%, 44+ A8s+ ATo+ KJs+ KQo
16.5%, 33+ A4s+ A8o+ KTs+ KJo+ QJs
27.9%, 22+ A2s+ A4o+ K8s+ KTo+ Q9s+ QJo J8s+ JTo T8s+ 98s 87s
12.7%, 55+ A7s+ A9o+ KJs+ KQo
15.8%, 33+ A5s+ A8o+ KTs+ KQo QJs
20.5%, 22+ A2s+ A6o+ K9s+ KJo+ QTs+
33.8%, 22+ Ax K5s+ K9o+ Q8s+ QTo+ J7s+ JTo T7s+ 97s+ 86s+ 76s 65s
19.8%, 33+ A2s+ A7o+ K9s+ KTo+ QTs+
26.6%, 22+ Ax K8s+ KTo+ Q9s+ QJo JTs
59.9%, 22+ Kx+ Q2s+ Q6o+ J3s+ J8o+ T4s+ T7o+ 95s+ 97o+ 85s+ 87o 74s+ 76o 64s+ 53s+ 43s
40.6%, 22+ Ax K2s+ K4o+ Q6s+ Q8o+ J8s+ J9o+ T8s+
18.5%, 22+ A3s+ A9o+ K9s+ KJo+ Q9s+ J9s+ T9s 98s
8.3%, 66+ ATs+ AJo+ KQs
8.9%, 66+ ATs+ ATo+ KQs
9.3%, 66+ ATs+ ATo+ KQs
11.9%, 44+ A8s+ ATo+ KJs+ KQo
15.0%, 33+ A4s+ A9o+ KTs+ KQo QJs
15.0%, 33+ A4s+ A9o+ KTs+ KQo QJs
22.5%, 22+ A2s+ A8o+ K8s+ KJo+ Q9s+ QJo J8s+ T8s+ 98s 87s
10.6%, 55+ A8s+ ATo+ KJs+
13.7%, 44+ A7s+ A5s A9o+ KTs+ KQo
19.1%, 22+ A2s+ A7o+ KTs+ KJo+ QTs+
29.1%, 22+ A2s+ A3o+ K7s+ KTo+ Q8s+ QJo J8s+ JTo T8s+ 98s 87s
13.4%, 44+ A7s+ A9o+ KJs+ KQo
17.9%, 33+ A4s+ A7o+ KTs+ KJo+ QJs
24.3%, 22+ A2s+ A4o+ K9s+ KTo+ QTs+ QJo JTs
34.5%, 22+ Ax K4s+ K9o+ Q8s+ QTo+ J7s+ JTo T7s+ 97s+ 86s+ 76s 65s
34.5%, 22+ Ax K4s+ K9o+ Q8s+ QTo+ J7s+ JTo T7s+ 97s+ 86s+ 76s 65s
29.1%, 22+ Ax K6s+ K9o+ Q9s+ QTo+ JTs
