32.8%, 22+ Ax K5s+ KTo+ Q8s+ QTo+ J8s+ JTo T8s+ 97s+ 86s+ 76s 65s
22.4%, 22+ A2s+ A5o+ K9s+ KTo+ QTs+ JTs
26.9%, 22+ Ax K7s+ KTo+ Q9s+ QJo JTs
81.5%, 22+ Jx+ T3s+ T3o+ 9x-8x 76s 75o+
53.3%, 22+ Kx+ Q2s+ Q8o+ J4s+ J8o+ T6s+ T8o+ 95s+ 98o 85s+ 75s+ 64s+ 53s+
40.9%, 22+ Ax K2s+ K4o+ Q5s+ Q8o+ J8s+ J9o+ T8s+
24.5%, 55+ Ax KTs+ KTo+ QJs QTo+
10.7%, 66+ ATs+ AJo+ KTs+ KQo QTs+ JTs
12.1%, 55+ A9s+ AJo+ KTs+ KQo QTs+ JTs
13.1%, 33+ A9s+ ATo+ KTs+ KQo QTs+ JTs
15.3%, 22+ A7s+ A5s ATo+ KTs+ KQo QTs+ J9s+ T9s
18.2%, 22+ A4s+ A9o+ K9s+ KJo+ Q9s+ J9s+ T9s 98s
9.8%, 66+ A9s+ AJo+ KJs+ KQo
10.8%, 55+ A9s+ ATo+ KJs+ KQo
11.5%, 55+ A8s+ ATo+ KJs+ KQo
12.3%, 55+ A7s+ ATo+ KTs+ KQo QJs
13.6%, 55+ A5s+ A9o+ KTs+ KQo QJs
28.0%, 44+ Ax K9s+ K9o+ QTs+ QTo+ JTo
13.3%, 44+ A8s+ ATo+ KTs+ KQo QTs+ JTs T9s
14.6%, 33+ A7s+ A5s ATo+ KTs+ KQo QTs+ JTs T9s
17.8%, 22+ A4s+ A9o+ K9s+ KJo+ QTs+ J9s+ T9s
21.7%, 22+ A2s+ A7o+ K9s+ KJo+ Q9s+ J9s+ T8s+ 98s
11.8%, 44+ A8s+ ATo+ KJs+ KQo
12.6%, 44+ A8s+ ATo+ KTs+ KQo QJs
14.6%, 44+ A5s+ A9o+ KTs+ KQo QTs+
16.9%, 44+ A3s+ A8o+ KTs+ KJo+ QTs+
33.4%, 22+ Ax K7s+ K7o+ Q9s+ Q9o+ J9s+ J9o+
17.1%, 33+ A4s+ A9o+ K9s+ KQo QTs+ J9s+ T9s
21.1%, 22+ A2s+ A7o+ K9s+ KJo+ Q9s+ J9s+ T9s 98s
